,Unnamed: 0,time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7,link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
96,96,1639136561579529269,2.5675732647745906,0.939358793297584,0.8769443455303878,1.8659980591247791,-2.580514813815588,1.9842358276926928,1.1897435608021223,"[0.050960895554231216, 0.16163924746043234, 0.35142553805030163]","[0.03129787737202197, -0.07816917718835543, 0.27679465032892514]","[-0.2502989499113728, 0.07972224122946098, 0.40420448636982587]","[-0.37171265907131545, 0.2882717760828688, 0.3246339644080827]","[-0.365114165117674, 0.38760676441186814, 0.24587743009048124]","[-0.45726776745057673, 0.5062863574846506, 0.34205028997337505]","[-0.66152681244057, 0.4044626202900491, 0.4893870759203078]"
97,97,1639136561679635500,-2.507250559197051,-0.9209924891889398,0.09279229031140313,-1.6691093584743593,0.8668571776133169,-0.4185105928206769,-2.118851091758189,"[-0.04783322233723962, -0.03302454428880421, 0.20607111593758667]","[-0.1517357909742805, 0.0008301818102894034, 0.20429568338295795]","[-0.12906309203680866, 0.1913416586368314, 0.47985504988907735]","[-0.23120309243821177, 0.09548408115150225, 0.5358223279520633]","[-0.03386947320534725, 0.22662689154797633, 0.7586652963130031]","[0.13686223902987038, 0.34242257157479783, 0.6880505240537689]","[0.09476819495692056, 0.22765962432865008, 0.632693270681091]"
98,98,1639136561779640255,-1.3344026173273271,-0.4174898459228642,0.03896063710795738,-1.5831246526843252,1.57346398634929,0.3881900521796573,2.3459278934972896,"[0.12973899943698416, -0.11938338097962356, 0.09848053986302333]","[0.13331082967350974, -0.018473786190719675, 0.35000541840403165]","[0.30120548587057283, -0.06728953961364256, 0.43898252666962223]","[0.15078376851784758, 0.23598468273802292, 0.4923225967326152]","[-0.18538587999589562, -0.012318517929878744, 0.7263425336854974]","[-0.06735374566103174, 0.15234382771058982, 0.9103107108783876]","[0.06502813441690364, 0.05568847804882314, 1.1257913056179274]"
99,99,1639136561879563702,1.0544510705967909,-0.052446688713517535,-1.3161783205667,1.3047005712550286,1.7315192834152715,1.1457941113071626,-2.9859729921535285,"[0.0964795051491279, -0.015616034408409717, 0.03222133594064992]","[0.15295244163700508, 0.003725171151065117, 0.5461949274069053]","[0.02210299968795152, -0.014353345233137443, 0.5208906348826674]","[-0.05241192181180169, 0.2774678293245306, 0.7148372723656273]","[-0.02611401745046182, -0.0826941208039127, 0.7918468476591944]","[-0.10320318234898908, -0.23108430651739842, 0.8398745539997051]","[0.08450271595515317, -0.3329285507912633, 0.6604376525121699]"
100,100,1639136561979559905,2.004516106815101,0.7404127951289965,-1.6582783226938511,1.0976873925345971,1.4882847268464758,1.1619396641339428,-2.7443601304876712,"[0.008272587089673279, 0.05832877640006884, 0.12112018600191633]","[0.023135424856603214, -0.12726572820167062, 0.25972452629999676]","[0.02870233857870113, -0.06273011291261033, 0.4506599067195122]","[-0.08602388420468983, -0.01003276759618482, 0.8121041736165122]","[-0.14025539262675574, -0.06849497608472783, 0.9315845638692427]","[-0.3379204010730038, -0.09824952986738228, 0.7520696305446416]","[-0.30792190011232656, 0.12016233150635562, 0.7565221969531102]"
101,101,1639136562079651044,-2.710553112312424,1.3714244639952735,-0.09124325854831428,-0.08344513851166369,-0.4217346676545284,-1.7480552579849178,2.484564555990319,"[0.003989331084035401, 0.02208127329376493, 0.0866332915878224]","[0.11148231609587458, -0.01163273243472552, 0.27778455252327755]","[-0.17958717027252968, 0.06376131316354962, 0.49559682586621134]","[-0.13756915961361244, 0.3408252930153788, 0.5012968479681464]","[-0.3199521176000595, 0.37587751105115835, 0.7244384066005958]","[-0.5270299533028728, 0.333419540415367, 0.8503068915353152]","[-0.3805138096661469, 0.24235635365934657, 0.5935122876116786]"
102,102,1639136562179601392,0.19712244213784305,1.6230548654753711,0.5472745936618466,0.9678550676026321,-0.9107540455072748,0.4223244782468787,-2.10004805020014,"[-0.08551178124734761, -0.006957407523346084, 0.1903427733032997]","[-0.05213170254532974, 0.07015758661554965, 0.3113316800100085]","[-0.07615109457593923, 0.05198161684973608, 0.2664719907324837]","[-0.20491665875097897, -0.151949579550601, 0.30584094282718394]","[-0.3006599553601932, -0.18630846254974215, 0.4770641726205211]","[-0.689298322790709, -0.25970597108587623, 0.6116389946783722]","[-0.7716844864398857, -0.3341776336177715, 0.5939243409893561]"
103,103,1639136562279664553,0.6787446713009961,-1.990008771022095,0.1280999014760109,-1.6289040619495332,0.2438715021891276,1.7150529149136906,2.7157294889870003,"[-0.029273329967629488, 0.04745570535585644, 0.1592594537927375]","[0.030128486804868067, 0.013733812369791777, 0.4234655313128681]","[0.3017283607183448, 0.3109397179428746, 0.42671742730233986]","[0.17540433841044387, -0.02679202804087251, 0.2524981094399784]","[0.752739952367123, 0.03612607382262536, 0.49149099630678245]","[0.6952762448776346, -0.11441245053873254, 0.7324951126813293]","[0.728225458818282, -0.15146818544640414, 0.6141461368583534]"
104,104,1639136562379497951,0.7802887082461698,0.9955627900955636,1.0514676707978463,-0.0927320144668271,-1.0159519293512624,-0.9116368599472492,1.716667370940112,"[0.0011871747051184014, -0.23221904322606607, 0.10626335627585184]","[-0.043233262781643626, -0.030926892806940234, 0.33364545425768016]","[-0.061944240850730525, -0.16524018895322617, 0.15337424641880737]","[-0.18285109437456626, -0.3206594916381914, 0.010426894418592625]","[-0.3389507166692845, -0.33155434717724863, 0.3381331575008548]","[-0.38627721890759986, -0.1536371580672409, 0.6285380894629136]","[-0.42103259418809724, -0.18425134302326662, 0.5052907782969311]"
105,105,1639136562479486954,-0.6207250607079584,-0.2909311650400952,0.8675543551529068,-1.3479432622982708,2.823240691215998,1.2749009192279268,0.3733929567084786,"[-0.0456205319037529, 0.033173312439146875, 0.2261740440730303]","[-0.02934108412883224, 0.13300843913323365, 0.5242726642662057]","[0.023001259570727184, 0.16554728048283138, 0.37329784649827213]","[0.07370602745973623, 0.17461721311295408, 0.4118615270979663]","[0.5552639998023492, 0.3784767876150592, 0.6125950020293358]","[0.30649483639804315, 0.35075760032857756, 0.8123452113069028]","[0.36307030066235174, 0.36144320572087635, 0.7944934372390764]"
